Bank_code,Period,Item,Scenario,AMOUNT
0SK1ILSPWNVBNQWU0W18,201512,993101,3,22508
0SK1ILSPWNVBNQWU0W18,201612,993101,2,21196
0SK1ILSPWNVBNQWU0W18,201612,993101,3,22668
0SK1ILSPWNVBNQWU0W18,201312,993102,1,410
0SK1ILSPWNVBNQWU0W18,201412,993102,2,478
0SK1ILSPWNVBNQWU0W18,201412,993102,3,528
0SK1ILSPWNVBNQWU0W18,201512,993102,2,511
0SK1ILSPWNVBNQWU0W18,201512,993102,3,580
0SK1ILSPWNVBNQWU0W18,201612,993102,2,547
0SK1ILSPWNVBNQWU0W18,201612,993102,3,644
0SK1ILSPWNVBNQWU0W18,201312,993103,1,20649
0SK1ILSPWNVBNQWU0W18,201412,993103,2,20649
0SK1ILSPWNVBNQWU0W18,201412,993103,3,21301
0SK1ILSPWNVBNQWU0W18,201512,993103,2,20649
0SK1ILSPWNVBNQWU0W18,201512,993103,3,21928
0SK1ILSPWNVBNQWU0W18,201612,993103,2,20649
0SK1ILSPWNVBNQWU0W18,201612,993103,3,22024
0SK1ILSPWNVBNQWU0W18,201312,993104,1,0
0SK1ILSPWNVBNQWU0W18,201412,993104,2,0
0SK1ILSPWNVBNQWU0W18,201412,993104,3,0
0SK1ILSPWNVBNQWU0W18,201512,993104,2,0
0SK1ILSPWNVBNQWU0W18,201512,993104,3,0
0SK1ILSPWNVBNQWU0W18,201612,993104,2,0
0SK1ILSPWNVBNQWU0W18,201612,993104,3,0
0SK1ILSPWNVBNQWU0W18,201312,993105,1,681
0SK1ILSPWNVBNQWU0W18,201412,993105,2,681
0SK1ILSPWNVBNQWU0W18,201412,993105,3,681
0SK1ILSPWNVBNQWU0W18,201512,993105,2,681
0SK1ILSPWNVBNQWU0W18,201512,993105,3,681
0SK1ILSPWNVBNQWU0W18,201612,993105,2,681
0SK1ILSPWNVBNQWU0W18,201612,993105,3,681
0SK1ILSPWNVBNQWU0W18,201312,993106,1,0
0SK1ILSPWNVBNQWU0W18,201412,993106,2,0
0SK1ILSPWNVBNQWU0W18,201412,993106,3,0
0SK1ILSPWNVBNQWU0W18,201512,993106,2,0
0SK1ILSPWNVBNQWU0W18,201512,993106,3,0
0SK1ILSPWNVBNQWU0W18,201612,993106,2,0
0SK1ILSPWNVBNQWU0W18,201612,993106,3,0
0SK1ILSPWNVBNQWU0W18,201312,993107,1,21740
0SK1ILSPWNVBNQWU0W18,201412,993107,2,21808
0SK1ILSPWNVBNQWU0W18,201412,993107,3,22510
0SK1ILSPWNVBNQWU0W18,201512,993107,2,21841
0SK1ILSPWNVBNQWU0W18,201512,993107,3,23189
0SK1ILSPWNVBNQWU0W18,201612,993107,2,21877
0SK1ILSPWNVBNQWU0W18,201612,993107,3,23349
0SK1ILSPWNVBNQWU0W18,201312,993108,1,0
0SK1ILSPWNVBNQWU0W18,201412,993108,2,0
0SK1ILSPWNVBNQWU0W18,201412,993108,3,0
0SK1ILSPWNVBNQWU0W18,201512,993108,2,0
0SK1ILSPWNVBNQWU0W18,201512,993108,3,0
0SK1ILSPWNVBNQWU0W18,201612,993108,2,0
0SK1ILSPWNVBNQWU0W18,201612,993108,3,0
0SK1ILSPWNVBNQWU0W18,201312,993201,1,163
0SK1ILSPWNVBNQWU0W18,201312,993202,1,0
0SK1ILSPWNVBNQWU0W18,201312,993203,1,0
0SK1ILSPWNVBNQWU0W18,201312,993204,1,163
0SK1ILSPWNVBNQWU0W18,201312,993205,1,410
0SK1ILSPWNVBNQWU0W18,201412,993205,2,478
0SK1ILSPWNVBNQWU0W18,201412,993205,3,528
0SK1ILSPWNVBNQWU0W18,201512,993205,2,511
0SK1ILSPWNVBNQWU0W18,201512,993205,3,580
0SK1ILSPWNVBNQWU0W18,201612,993205,2,547
0SK1ILSPWNVBNQWU0W18,201612,993205,3,644
0SK1ILSPWNVBNQWU0W18,201312,993206,1,0
0SK1ILSPWNVBNQWU0W18,201412,993206,2,0
0SK1ILSPWNVBNQWU0W18,201412,993206,3,0
0SK1ILSPWNVBNQWU0W18,201512,993206,2,0
0SK1ILSPWNVBNQWU0W18,201512,993206,3,0
0SK1ILSPWNVBNQWU0W18,201612,993206,2,0
0SK1ILSPWNVBNQWU0W18,201612,993206,3,0
0SK1ILSPWNVBNQWU0W18,201312,993207,1,410
0SK1ILSPWNVBNQWU0W18,201412,993207,2,478
0SK1ILSPWNVBNQWU0W18,201412,993207,3,528
0SK1ILSPWNVBNQWU0W18,201512,993207,2,511
0SK1ILSPWNVBNQWU0W18,201512,993207,3,580
0SK1ILSPWNVBNQWU0W18,201612,993207,2,547
0SK1ILSPWNVBNQWU0W18,201612,993207,3,644
0SK1ILSPWNVBNQWU0W18,201312,993208,1,3
0SK1ILSPWNVBNQWU0W18,201412,993208,2,3
0SK1ILSPWNVBNQWU0W18,201412,993208,3,4
0SK1ILSPWNVBNQWU0W18,201512,993208,2,3
0SK1ILSPWNVBNQWU0W18,201512,993208,3,5
0SK1ILSPWNVBNQWU0W18,201612,993208,2,3
0SK1ILSPWNVBNQWU0W18,201612,993208,3,6
0SK1ILSPWNVBNQWU0W18,201312,993209,1,0
0SK1ILSPWNVBNQWU0W18,201412,993209,2,0
0SK1ILSPWNVBNQWU0W18,201412,993209,3,0
0SK1ILSPWNVBNQWU0W18,201512,993209,2,0
0SK1ILSPWNVBNQWU0W18,201512,993209,3,0
0SK1ILSPWNVBNQWU0W18,201612,993209,2,0
0SK1ILSPWNVBNQWU0W18,201612,993209,3,0
0SK1ILSPWNVBNQWU0W18,201312,993210,1,3
0SK1ILSPWNVBNQWU0W18,201412,993210,2,3
0SK1ILSPWNVBNQWU0W18,201412,993210,3,4
0SK1ILSPWNVBNQWU0W18,201512,993210,2,3
0SK1ILSPWNVBNQWU0W18,201512,993210,3,5
0SK1ILSPWNVBNQWU0W18,201612,993210,2,3
0SK1ILSPWNVBNQWU0W18,201612,993210,3,6
0SK1ILSPWNVBNQWU0W18,201312,993401,1,3636
0SK1ILSPWNVBNQWU0W18,201412,993401,2,3721.2883074
0SK1ILSPWNVBNQWU0W18,201412,993401,3,3606.0294716
0SK1ILSPWNVBNQWU0W18,201512,993401,2,3809.6744447
0SK1ILSPWNVBNQWU0W18,201512,993401,3,3487.5002427
0SK1ILSPWNVBNQWU0W18,201612,993401,2,3894.9768938
0SK1ILSPWNVBNQWU0W18,201612,993401,3,3338.9985762
0SK1ILSPWNVBNQWU0W18,201312,993402,1,2933
0SK1ILSPWNVBNQWU0W18,201412,993402,2,3015.2883074
0SK1ILSPWNVBNQWU0W18,201412,993402,3,2903.0294716
0SK1ILSPWNVBNQWU0W18,201512,993402,2,3091.6744447
0SK1ILSPWNVBNQWU0W18,201512,993402,3,2777.5002427
0SK1ILSPWNVBNQWU0W18,201612,993402,2,3165.9768938
0SK1ILSPWNVBNQWU0W18,201612,993402,3,2619.9985762
0SK1ILSPWNVBNQWU0W18,201312,993403,1,250
0SK1ILSPWNVBNQWU0W18,201412,993403,2,250
0SK1ILSPWNVBNQWU0W18,201412,993403,3,250
0SK1ILSPWNVBNQWU0W18,201512,993403,2,250
0SK1ILSPWNVBNQWU0W18,201512,993403,3,250
0SK1ILSPWNVBNQWU0W18,201612,993403,2,250
0SK1ILSPWNVBNQWU0W18,201612,993403,3,250
0SK1ILSPWNVBNQWU0W18,201312,993404,1,250
0SK1ILSPWNVBNQWU0W18,201412,993404,2,250
0SK1ILSPWNVBNQWU0W18,201412,993404,3,250
0SK1ILSPWNVBNQWU0W18,201512,993404,2,250
0SK1ILSPWNVBNQWU0W18,201512,993404,3,250
0SK1ILSPWNVBNQWU0W18,201612,993404,2,250
0SK1ILSPWNVBNQWU0W18,201612,993404,3,250
0SK1ILSPWNVBNQWU0W18,201312,993405,1,0
0SK1ILSPWNVBNQWU0W18,201412,993405,2,77.288307399
0SK1ILSPWNVBNQWU0W18,201412,993405,3,-27.97052836
0SK1ILSPWNVBNQWU0W18,201512,993405,2,158.67444466
0SK1ILSPWNVBNQWU0W18,201512,993405,3,-134.4997573
0SK1ILSPWNVBNQWU0W18,201612,993405,2,236.97689385
0SK1ILSPWNVBNQWU0W18,201612,993405,3,-269.0014238
0SK1ILSPWNVBNQWU0W18,201312,993406,1,2366
0SK1ILSPWNVBNQWU0W18,201412,993406,2,2366
0SK1ILSPWNVBNQWU0W18,201412,993406,3,2366
0SK1ILSPWNVBNQWU0W18,201512,993406,2,2366
0SK1ILSPWNVBNQWU0W18,201512,993406,3,2366
0SK1ILSPWNVBNQWU0W18,201612,993406,2,2366
0SK1ILSPWNVBNQWU0W18,201612,993406,3,2366
0SK1ILSPWNVBNQWU0W18,201312,993407,1,0
0SK1ILSPWNVBNQWU0W18,201412,993407,2,0
0SK1ILSPWNVBNQWU0W18,201412,993407,3,0
